Horizon,SampleSize,lb,ub,ub_l,ub_r
5,5,2379,2850.09,2446.98,3253.2
5,5,2379,2852.33,2219.07,3485.59
5,5,2396.21,2745.88,2277.64,3214.13
5,5,2402.73,2254.21,2047.79,2460.62
5,5,2413.25,2488.31,2048.66,2927.97
5,5,2414.97,3206.69,2670.21,3743.17
5,5,2438.34,2984.29,2526.33,3442.26
5,5,2447.79,2984.63,2558.49,3410.77
5,5,2454.13,2667.71,2289.76,3045.66
5,5,2456.96,3241.45,2614.7,3868.2
5,5,2457.4,3445.31,3041.26,3849.36
5,5,2462.7,2772.71,2441.52,3103.89
5,5,2462.8,2510.5,1949.78,3071.23
5,5,2464.1,2943.67,2400.16,3487.19
5,5,2470.68,2717.48,2391.65,3043.3
5,5,2478.99,2704.7,2367.19,3042.22
5,5,2494.6,2987.72,2442.76,3532.69
5,5,2503.68,2989.74,2501.55,3477.93
5,5,2509.8,3585.28,3250.63,3919.92
5,5,2514.26,2694.35,2249.28,3139.42
5,5,2516.6,2662.14,2237.24,3087.04
5,5,2517.59,2649.29,2299.07,2999.5
5,5,2518.25,2430.9,1919.02,2942.77
5,5,2518.45,2831.41,2523.11,3139.71
5,5,2521.49,2948.33,2493.64,3403.02
5,5,2523.06,2966.62,2589.82,3343.41
5,5,2524.83,3627.72,3179.83,4075.62
5,5,2538.53,2606.27,2190.93,3021.61
5,5,2548.22,2855.5,2398.23,3312.78
5,5,2555.5,2770.93,2382.81,3159.05
5,5,2557.88,2711.31,2102.63,3319.99
5,5,2557.95,2897.6,2373.5,3421.71
5,5,2561.16,3868.46,3450.83,4286.09
5,5,2566.48,2277.06,2062.72,2491.4
5,5,2567.9,2181.75,1909.61,2453.88
5,5,2572.79,2673.18,2080.27,3266.08
5,5,2575.77,3935.33,3404.24,4466.42
5,5,2584.37,3080.66,2518.79,3642.52
5,5,2584.44,2920.84,2501.11,3340.58
5,5,2588.41,2514.94,2085.93,2943.94
5,5,2591.49,2709.58,2191.56,3227.6
5,5,2595.51,2975.01,2537.24,3412.77
5,5,2597.09,2673.13,2053.26,3293
5,5,2604.16,2423.24,2397.42,2449.05
5,5,2604.16,2997.53,2543.87,3451.19
5,5,2604.16,2536.59,2109.83,2963.36
5,5,2604.16,3109.43,2643.9,3574.97
5,5,2604.16,2518.74,1822.66,3214.82
5,5,2604.16,2649.58,2542.96,2756.2
5,10,1302.64,2590.02,2164.94,3015.1
5,10,2375.79,2783.61,2472.57,3094.66
5,10,2379.19,2627.15,2364.86,2889.45
5,10,2379.36,2613.04,2314.41,2911.67
5,10,2379.36,2533.22,2174.33,2892.11
5,10,2396.4,2783.39,2395.1,3171.69
5,10,2402.92,2656.31,2349.51,2963.11
5,10,2413.43,2325.4,2049.87,2600.92
5,10,2415.14,3313.7,2951.73,3675.67
5,10,2437.58,3217.42,2770.02,3664.83
5,10,2442.63,2563.96,2277.11,2850.8
5,10,2450.11,2912.3,2642.07,3182.54
5,10,2457.4,2559.45,2293.06,2825.85
5,10,2463.22,2662.94,2333.93,2991.96
5,10,2464.78,3397.23,3118.28,3676.19
5,10,2467.13,3260.09,3010.78,3509.41
5,10,2469.07,3280.49,3065.99,3494.98
5,10,2470.78,3023.94,2474.17,3573.7
5,10,2470.94,2805.97,2551.6,3060.35
5,10,2477.46,2601.51,2229.4,2973.62
5,10,2478.28,2646.99,2321.04,2972.94
5,10,2521.27,2485,2174.39,2795.61
5,10,2522.5,2910.12,2553.87,3266.36
