SampleSize,lb,ub,ub_l,ub_r
3,3472.52,3853.68,3339.63,4367.73
3,3472.75,3688.96,3213.95,4163.97
3,3475.65,3380.61,3039.02,3722.2
3,3480.5,3591.39,3054.14,4128.64
3,3480.73,4460.84,3937.65,4984.04
3,3484,3863.55,3493.67,4233.43
3,3484.33,4154.42,4124.48,4184.36
3,3484.69,3544.28,3336.18,3752.38
3,3484.71,4115.75,3700.96,4530.54
3,3487.9,3745.88,3246.22,4245.54
3,3488.19,3571.47,3013.83,4129.11
3,3489.29,4130.23,3685.76,4574.7
3,3491,3621.84,3126.77,4116.92
3,3492.98,3593.58,2996.31,4190.84
3,3498.67,4223.68,3723.22,4724.14
3,3499.2,3869.61,3341.3,4397.93
3,3501.52,4049.65,3773.08,4326.22
3,3504.71,3945.95,3412.37,4479.52
3,3504.73,3952.67,3192.32,4713.02
3,3508.91,3333.26,3291.79,3374.74
3,3509.91,3971.81,3715.67,4227.95
3,3510.56,4437.33,4194.14,4680.52
3,3511.52,4108.53,3889.25,4327.8
3,3512.71,4733.16,4723.88,4742.45
3,3514.14,3529.67,3292.49,3766.84
3,3515.12,4145.3,3593.8,4696.8
3,3516.8,3929.63,3624.02,4235.24
3,3518.56,4052.44,3714.23,4390.64
3,3519.88,3912.39,3387.33,4437.45
3,3521.74,3621.25,3085.39,4157.1
3,3525.67,3848.19,3247.23,4449.16
3,3526.1,3946.24,3399.17,4493.31
3,3525.95,4057.65,3753.87,4361.43
3,3528.67,3952.77,3322.29,4583.25
3,3532.62,3363.69,3316.87,3410.5
3,3535.44,3914.51,3304.4,4524.61
3,3541.39,3821.46,2766.82,4876.1
3,3542.32,4084.1,3772.52,4395.68
3,3542.37,3406.73,3082.87,3730.59
3,3545.48,3621.38,3036.91,4205.86
3,3545.98,3871.01,3346.9,4395.12
3,3547.12,3669.67,3110.72,4228.61
3,3547.47,3649.73,3254.08,4045.38
3,3548.24,3398.07,3137.68,3658.46
3,3549.64,3825.63,3489.91,4161.34
3,3555.42,3595.19,3055.83,4134.55
3,3556.17,3880.35,3391.13,4369.56
3,3557.92,3602.14,3331.12,3873.16
3,3560.17,3938.44,3323.13,4553.75
3,3561.03,3570.21,3279.33,3861.09
3,3564.68,3571.2,3285.56,3856.85
3,3565.09,4611.14,4102.72,5119.56
3,3566.47,3822.47,3233.7,4411.24
3,3567.95,4092.73,4015.78,4169.67
3,3568.92,3863.23,3539.39,4187.08
3,3569.59,3938.57,3600.03,4277.11
3,3570.34,3782.22,3248.64,4315.8
3,3571.59,3591.62,3015.4,4167.84
3,3572.56,4209.98,3817.67,4602.29
3,3574,3752.82,3147.2,4358.44
3,3574.39,3884.41,3354.97,4413.85
3,3575.63,3535.78,3241.35,3830.2
3,3576.5,3906.81,3274.51,4539.1
3,3577.87,4132.9,3573.45,4692.34
3,3585.48,3442.02,3288.47,3595.57
3,3586.07,3940.25,3437.01,4443.48
3,3586.76,3602.81,3045.65,4159.96
3,3589.13,3605.59,3044.37,4166.8
3,3591.73,3490.18,3247.47,3732.89
3,3593.78,3756.6,3185.47,4327.74
3,3593.84,4507.45,4255.97,4758.92
3,3596.82,3507.76,2984.2,4031.32
3,3597.27,3373.33,3337.29,3409.37
3,3599.71,3652.02,3307.57,3996.46
3,3600.34,3514.73,2941.7,4087.77
3,3600.83,3969.57,3639.61,4299.53
3,3601.53,4194.68,4154.15,4235.21
3,3605.77,4658.7,4128.1,5189.3
3,3605.77,3827.51,3226.1,4428.92
3,3605.77,3653.6,3166.35,4140.85
3,3605.77,3541.1,2928.16,4154.04
3,3605.77,3813.89,3240.07,4387.71
3,3605.77,3581.74,3503.7,3659.78
5,781.302,3315.1,3107.68,3522.51
5,3332.35,3510.53,3187.42,3833.63
5,3380.03,3416.92,3047.63,3786.21
5,3390.98,3747.83,3414.47,4081.19
5,3391.35,3320.75,3133.76,3507.74
5,3391.35,4042.11,3841.53,4242.68
5,3406.21,3475.54,3114.53,3836.55
5,3408.39,3399.68,3081.25,3718.11
5,3408.45,3707.32,3322.94,4091.7
5,3414.04,3908.46,3588.7,4228.23
5,3414.91,3700.97,3316.23,4085.71
5,3419.24,3693.17,3323.82,4062.53
5,3422.63,4296.38,3895.96,4696.8
5,3423.72,3537.57,3267.52,3807.61
5,3451.32,3926.96,3718.46,4135.46
5,3454.99,3995.12,3608.15,4382.09
5,3457.43,3752.6,3323.79,4181.41
5,3462.27,3600.32,3310.71,3889.93
5,3463.2,3552.33,3264.59,3840.07
5,3464.26,3854.54,3477.52,4231.57
5,3468.46,3453.84,3086.44,3821.24
5,3472.04,4215.76,3706.73,4724.79
5,3474.78,3698.92,3318.31,4079.52
5,3475.31,3940.69,3587,4294.38
5,3478.52,3562.84,3347.76,3777.93
5,3479.85,3627.42,3272.72,3982.12
5,3479.93,3623.97,3333.92,3914.02
5,3481.72,3890.53,3634.55,4146.5
5,3483.08,3503.06,3158.88,3847.24
5,3489.83,3532.68,3172.17,3893.2
5,3491.97,4185.74,3886.39,4485.1
5,3492.1,3573.23,3230.99,3915.47
5,3495.6,4093.09,3915.9,4270.28
5,3498.01,3910.93,3559.77,4262.09
5,3498.76,3941.52,3709.74,4173.29
5,3501.33,3638.44,3388.67,3888.21
5,3501.66,4547.99,4191.65,4904.34
5,3507.36,3859.11,3512.15,4206.07
5,3507.55,3721.93,3381.32,4062.53
5,3510.35,3588,3164.8,4011.2
5,3511.28,3924.86,3598.2,4251.52
5,3515.72,3888.38,3594.82,4181.94
5,3518.3,3981.56,3644.65,4318.48
5,3519.49,3698.56,3384.65,4012.47
5,3520.07,3738.91,3335.33,4142.5
5,3522.53,3688.73,3233.7,4143.77
5,3523.3,3769.3,3379.37,4159.22
5,3524.42,3674.93,3321.71,4028.16
5,3532.01,3713.28,3272.55,4154.01
5,3532.93,3642.35,3206.05,4078.65
5,3534.4,3757.21,3464.48,4049.93
5,3540.48,3358.06,3199.49,3516.63
5,3541.53,4217.4,3724.18,4710.63
5,3544.02,3480.05,3119.72,3840.38
5,3545.69,4105.59,3930.67,4280.51
5,3546.21,4034.81,3698.5,4371.12
5,3547.55,3646.95,3330.46,3963.44
5,3549.12,4296.69,4057.99,4535.39
5,3552.37,3553.17,3210.09,3896.25
5,3552.38,3846.22,3552.7,4139.73
5,3555.57,3711.55,3315.11,4107.99
5,3555.6,3521.76,3350.09,3693.42
5,3560.6,3815.56,3558.66,4072.47
5,3563.4,3632.19,3430.63,3833.75
5,3565.18,3667.04,3274.56,4059.51
5,3565.39,4129.93,3787.88,4471.97
5,3567.56,3485.62,3128.84,3842.4
5,3568.94,3831.3,3404.1,4258.51
5,3570.98,3967.61,3800.83,4134.4
5,3571.67,4376.38,4158.51,4594.26
5,3573.5,3705.05,3317.77,4092.33
5,3576.21,3945.17,3489.67,4400.67
5,3577.22,3791.99,3405.51,4178.47
5,3578.23,3667.68,3356.85,3978.5
5,3584.36,3676.41,3275.21,4077.61
5,3586.06,3536.7,3195.55,3877.85
5,3588.32,3827.43,3519.64,4135.22
5,3590.5,4027.87,3615.93,4439.81
5,3591.54,3659.99,3238.18,4081.8
5,3592.08,3517.92,3161.42,3874.43
5,3593.18,3866.45,3519.61,4213.29
5,3593.69,4647.91,4273.26,5022.56
5,3594.67,3599.97,3168.93,4031.02
5,3596.38,3564.73,3207.84,3921.61
5,3600.45,3660.64,3304.09,4017.19
5,3602.68,3999.35,3701.99,4296.71
5,3602.7,3860.45,3516.07,4204.84
5,3604.8,3955.51,3588.18,4322.83
5,3605.77,3520.62,3330.07,3711.17
5,3605.77,3573.78,3140.89,4006.66
5,3605.77,3765.68,3450.41,4080.95
5,3605.77,3865.35,3514.54,4216.16
5,3605.77,3410.36,3045.64,3775.08
5,3605.77,3604.04,3529.2,3678.87
10,791.225,3691.85,3457.18,3926.51
10,3321.33,3667.4,3438.29,3896.5
10,3375,4148.62,3839.89,4457.34
10,3389.11,3676.01,3421.08,3930.94
10,3390.27,3536.89,3301.18,3772.6
10,3392.72,3645.8,3457.59,3834
10,3393.49,3564.87,3313.22,3816.52
10,3393.49,3462.81,3229.22,3696.39
10,3407.96,3529,3316.21,3741.79
10,3409.44,3752.79,3443.56,4062.02
10,3410.52,3668.38,3436.79,3899.97
10,3412.22,3634.18,3284.7,3983.67
10,3417.91,3564.39,3351.34,3777.44
10,3421.61,3791.38,3554.29,4028.47
10,3444.29,3996.93,3712.01,4281.84
10,3460.34,3767.66,3517.03,4018.28
10,3462.5,3506.68,3241.36,3772
10,3464.64,3625.87,3377.19,3874.54
10,3470.04,3569.32,3400.89,3737.74
10,3471.48,3558.49,3297.53,3819.44
10,3475.07,3895.56,3633.67,4157.45
10,3479.36,3605.65,3396.26,3815.03
10,3483.03,3850.69,3591.44,4109.94
10,3483.56,3611.1,3370.92,3851.28
10,3485.98,3615.16,3432.11,3798.21
10,3486.77,3756.52,3506.39,4006.66
10,3489.8,3714.82,3500.66,3928.98
10,3489.98,3903.11,3706.94,4099.29
10,3490.21,3642.84,3411.53,3874.15
10,3490.97,4159.12,3915.93,4402.31
10,3498.08,3442.71,3250.29,3635.12
10,3500.23,3897.79,3678.49,4117.09
10,3502.04,3873.11,3569.01,4177.21
10,3502.7,3722.17,3512.18,3932.17
10,3507.02,4247.96,3838.2,4657.71
10,3510.82,3918.9,3698.92,4138.88
10,3515.61,3392.06,3194.58,3589.53
10,3517.66,3462.13,3321.12,3603.15
10,3517.87,3556.28,3277.03,3835.53
10,3518.25,3829.74,3604.98,4054.5
10,3518.6,3872.63,3629.57,4115.7
10,3521.23,3754.53,3528.88,3980.18
10,3524.05,3674.18,3456.54,3891.81
10,3524.83,3732.22,3484.56,3979.88
10,3530.66,3794.08,3539.14,4049.02
10,3532.29,3636.75,3417.47,3856.03
10,3533.14,3587.5,3440.66,3734.34
10,3533.84,3966.93,3648.87,4284.99
10,3534.38,3724.35,3499.8,3948.91
10,3541,3630.86,3367.85,3893.87
10,3544.53,3879.68,3681.12,4078.24
10,3546.19,3808.85,3601.86,4015.85
10,3548.95,3973.48,3709.76,4237.2
10,3550.6,3658.48,3440.66,3876.3
10,3555.02,4301.92,4115.23,4488.61
10,3556.33,3639.86,3407.51,3872.21
10,3556.81,3468.77,3257.88,3679.66
10,3557.83,3710.45,3528.47,3892.42
10,3557.94,3605.73,3411.44,3800.02
10,3561.61,4004.04,3765.57,4242.51
10,3563.8,3700.3,3493.15,3907.45
10,3564.35,3981.48,3778.8,4184.15
10,3564.73,3694.29,3421.9,3966.69
10,3566.85,3644.77,3392.12,3897.42
10,3567.82,3812.84,3516.21,4109.47
10,3567.98,4114.77,3965.18,4264.36
10,3569.04,4015.58,3788.98,4242.17
10,3569.57,4112.82,3877.03,4348.61
10,3570.52,3671.73,3390.11,3953.35
10,3572.97,4443.5,4277.24,4609.76
10,3574,3834.31,3572.94,4095.68
10,3575.58,3964.85,3702.36,4227.35
10,3575.65,3639.68,3419.29,3860.07
10,3578.86,3572.5,3295.83,3849.17
10,3584.73,3640.67,3357.07,3924.28
10,3585.38,3765.76,3503.11,4028.4
10,3586.57,3914.91,3673.54,4156.28
10,3589.21,3573.33,3313.3,3833.37
10,3592.98,3644.89,3389.19,3900.58
10,3596.88,4536.47,4281.29,4791.66
10,3598.81,3746.75,3517.05,3976.44
10,3600.16,3700.29,3439.4,3961.18
10,3601.43,3543.1,3274.99,3811.22
10,3602.07,3917.07,3726.08,4108.06
10,3605.1,3710.67,3502.51,3918.83
10,3605.77,3563.84,3341.28,3786.41
10,3605.77,3577.99,3345.32,3810.65
10,3605.77,3745.63,3525.35,3965.91
10,3605.77,3488.49,3257.95,3719.03
10,3605.77,3525.73,3307.67,3743.8
10,3605.77,3586.67,3508.29,3665.04
20,797.695,3543.28,3380.49,3706.07
20,3321.4,3675.1,3501.24,3848.96
20,3375.33,4036.04,3829.57,4242.52
20,3392.94,3482.15,3330.8,3633.51
20,3393.32,3551.6,3393.02,3710.18
20,3393.32,3593.87,3433.48,3754.25
20,3408.18,3654.11,3495.54,3812.69
20,3410.36,3728.14,3563.79,3892.49
20,3410.42,3570.37,3392.38,3748.36
20,3416.18,3949.14,3775.26,4123.03
20,3422.05,3647.89,3481.56,3814.22
20,3456.09,3667.92,3506.67,3829.18
20,3465.04,3719.63,3586.48,3852.78
20,3466.15,3656.55,3487.15,3825.94
20,3467.22,3947.77,3791.36,4104.18
20,3472.53,3735.17,3565.43,3904.91
20,3473.74,3715.56,3543.86,3887.25
20,3476.96,3676.25,3474.07,3878.42
20,3484.25,3650.19,3463.04,3837.34
20,3484.61,3899.42,3730.76,4068.08
20,3485.68,3727.74,3558.04,3897.44
20,3487.92,3592.14,3449.75,3734.53
20,3491.13,3563.43,3410.1,3716.75
20,3492.48,3679.72,3518.55,3840.88
20,3493.13,3997.85,3811.58,4184.11
20,3496.58,3640.08,3461.57,3818.59
20,3498.57,3747.89,3579.92,3915.85
20,3499.24,3671.93,3523.66,3820.2
20,3501.38,4368.3,4227.84,4508.76
20,3501.51,3639.33,3469.03,3809.63
20,3508.39,3753.1,3570.9,3935.29
20,3508.17,3623,3451.97,3794.03
20,3508.93,4008.59,3741.95,4275.23
20,3511.38,4149.92,3904.48,4395.36
20,3514.54,4391.22,4212.82,4569.62
20,3515.58,4104.86,3934.85,4274.86
20,3515.95,3782.69,3606.27,3959.11
20,3516.76,3438.07,3332.64,3543.5
20,3519.4,3691,3525.64,3856.36
20,3519.75,3882.93,3722.68,4043.18
20,3525.08,4108.09,3894.42,4321.77
20,3525.21,3818.26,3652.78,3983.75
20,3525.99,4028.68,3870.35,4187.02
20,3531.3,3856.67,3682.91,4030.43
20,3531.94,3737.75,3558.96,3916.54
20,3534.29,3554.87,3371.69,3738.05
20,3534.38,3670.04,3518.7,3821.37
20,3535.71,3579.94,3403.5,3756.37
20,3537.82,3691.21,3538.22,3844.21
20,3546.01,3679.86,3502.85,3856.86
20,3546.73,3748.65,3567.68,3929.63
20,3555.68,3799.1,3630.82,3967.38
20,3557.43,3969.22,3769.87,4168.57
20,3557.49,3840.96,3663.42,4018.51
20,3560.37,3963.82,3797.41,4130.23
20,3562.58,3552.2,3380.4,3724
20,3563.1,3795.86,3600.78,3990.94
20,3564.09,3599.16,3429.11,3769.21
20,3564.48,3623.67,3466.97,3780.37
20,3565.23,3741.09,3589.17,3893.02
20,3565.37,3799.1,3641.69,3956.51
20,3569.88,3958.84,3793.08,4124.61
20,3571.45,3899.34,3729.66,4069.02
20,3571.64,4335.62,4192.76,4478.49
20,3572.39,3427.31,3309.08,3545.55
20,3574.67,3569.97,3409.04,3730.91
20,3575.76,3802.72,3619.17,3986.27
20,3576.33,3803.46,3647.42,3959.5
20,3577.4,3723.42,3539.6,3907.24
20,3577.83,3592.46,3412.89,3772.02
20,3578.81,3587.18,3419.54,3754.82
20,3579.79,4637.39,4462.26,4812.52
20,3585.4,3654.49,3474.5,3834.48
20,3593.65,3840.19,3676.3,4004.08
20,3593.82,4732.98,4556.68,4909.27
20,3596.4,3449.84,3318.32,3581.36
20,3597.56,3436.64,3285.57,3587.72
20,3599.45,3727.28,3550.92,3903.64
20,3599.84,3729.82,3582.01,3877.62
20,3600.74,3869.95,3692.56,4047.33
20,3604.75,3816.68,3645,3988.37
20,3605.77,3527.95,3375.31,3680.58
20,3605.77,3514.99,3338.75,3691.23
20,3605.77,3565.03,3404.72,3725.34
20,3605.77,3602.23,3435.05,3769.4
20,3605.77,3491.06,3328.77,3653.35
