3, 952.066, 14, 944.585, 954.304, 0.0023458, 2.24191, 31.3867
3, 6701.12, 32, 6590.85, 6770.73, 0.0102811, 22.8089, 729.884
3, 6701.32, 29, 6693.79, 6871.2, 0.0247245, 11.8044, 342.327
3, 952.066, 14, 945.632, 955.389, 0.00347896, 1.28725, 18.0214
50, 6701.12, 21, 6701.97, 6878.51, 0.025789, 41.1557, 864.269
3, 952.066, 14, 949.307, 959.201, 0.00743848, 1.26859, 17.7603
3, 952.066, 14, 951.309, 961.273, 0.00957859, 1.29532, 18.1345
3, 952.066, 14, 946.982, 956.803, 0.00495115, 1.30111, 18.2155
50, 6701.08, 20, 6597.3, 6780.45, 0.0117049, 37.8123, 756.246
50, 1556, 50, 7610.84, 7762.91, 0.79956, 10.4713, 523.564
50, 6701.12, 50, 6580.24, 6761.48, 0.00892702, 84.1079, 4205.4
