101,,,,
iteration,LB,UB,UBl,UBr
39,6487.82,7420.94,6933.04,7908.83
40,6487.94,6855.82,6357.96,7353.69
41,6489.42,6888.05,6408.98,7367.13
42,6489.49,6905.24,6399.85,7410.62
43,6493.75,7284.13,6800.42,7767.85
44,6495.32,7169.94,6668.84,7671.03
45,6495.65,6898.56,6385.48,7411.64
46,6499.95,7583.03,7149.2,8016.85
47,6504.11,7064.89,6601.64,7528.13
48,6506.05,7111.93,6601.65,7622.22
49,6509.09,6655.15,6117.1,7193.21
50,6510.26,7016.88,6504.91,7528.85
Benders cut: 1,,,,
Improved Benders cut: 0,,,,
Lagrangian cut: 1,,,,
Integer Optimality cut: 0,,,,
iteration,LB,UB,UBl,UBr
1,3808.06,6934.72,6416.87,7452.57
2,5144.08,7104.16,6637.18,7571.15
3,5709.88,7460.57,7063.99,7857.14
4,6469.22,7030.8,6574.61,7486.99
5,6565.9,6718.18,6246.7,7189.67
6,6652.26,6831.93,6370.2,7293.66
7,6674.9,6613.08,6119.83,7106.32
8,6681.91,7084.9,6622.21,7547.58
9,6694.09,6816.91,6334.31,7299.52
10,6698.83,6705.02,6210.74,7199.3
11,6700.56,6423.37,5881.14,6965.61
12,6701.07,6877.85,6423.03,7332.66
13,6701.07,6821.43,6308.47,7334.39
14,6701.08,6582.51,6049.18,7115.83
15,6701.08,6895.76,6396.88,7394.63
16,6701.08,6599.24,6098.72,7099.75
17,6701.08,6913.85,6461.85,7365.85
18,6701.08,7133.43,6699.79,7567.08
19,6701.08,6533.85,6052.3,7015.4
20,6701.08,6726.57,6212.5,7240.63
21,6701.08,6828.9,6625.63,7032.17
22,6701.08,6765.8,6565.71,6965.9
23,6701.08,6533.7,6335.8,6731.6
24,6701.08,6708.43,6507.44,6909.43
25,6701.08,6697.24,6495.91,6898.56
26,6701.08,6734.62,6537.64,6931.61
27,6701.08,6678.47,6467.08,6889.86
28,6701.08,6873.26,6668.98,7077.55
29,6701.08,6651.92,6441.49,6862.34
30,6701.08,6715.29,6513.61,6916.97
31,6701.08,6396.55,6182.65,6610.45
32,6701.08,6781.58,6581.48,6981.68
33,6701.08,6710.77,6497.38,6924.17
34,6701.08,6717.36,6513.16,6921.56
35,6701.08,6888.67,6689.19,7088.15
36,6701.08,6668.66,6462.64,6874.68
37,6701.08,6789.54,6591.08,6988
38,6701.08,6638.77,6431.91,6845.62
39,6701.08,6782.53,6590.4,6974.66
40,6701.08,6703.15,6505.8,6900.5
41,6701.08,6643.31,6439.72,6846.89
42,6701.08,6451.89,6245.13,6658.65
43,6701.08,6513.67,6306.73,6720.6
44,6701.08,6627.17,6420.47,6833.87
45,6701.08,6762.54,6561.35,6963.74
46,6701.08,6699.29,6494.3,6904.28
47,6701.08,6791.03,6593.03,6989.03
48,6701.08,6656.44,6443.52,6869.36
49,6701.08,6892.24,6695.77,7088.7
50,6701.08,6634.06,6543.37,6724.74
Benders cut: 1,,,,
Improved Benders cut: 0,,,,
Lagrangian cut: 0,,,,
Integer Optimality cut: 0,,,,
iteration,LB,UB,UBl,UBr
1,3579.55,6123.95,5601.14,6646.75
2,6174.35,6903.3,6434.9,7371.7
3,6256.32,7739.88,7349.96,8129.79
4,6305.91,7736.19,7379.64,8092.73
5,6337.36,6790.56,6352.04,7229.08
6,6344.46,6368.33,5861.01,6875.66
7,6344.54,6849.43,6357.93,7340.93
8,6344.54,6660.02,6153.29,7166.74
9,6344.54,6457.92,5922.97,6992.86
10,6344.54,6939.11,6455.43,7422.79
11,6344.54,6477.05,5952.95,7001.16
12,6344.54,6438.46,5908.9,6968.03
13,6344.54,6797.11,6254.06,7340.16
14,6344.54,6489.03,5998.46,6979.61
15,6344.54,6674.38,6471.24,6877.52
16,6344.54,6654.28,6445.76,6862.81
17,6344.54,6491.18,6281.64,6700.72
18,6344.54,6694.87,6496.37,6893.37
19,6344.54,6666.82,6463.68,6869.96
20,6344.54,6656.75,6452.48,6861.03
21,6344.54,6587.65,6379,6796.29
22,6344.54,6753.95,6553.43,6954.47
23,6344.54,6761.4,6558,6964.79
24,6344.54,6746.08,6539.68,6952.48
25,6344.54,6527.19,6321.53,6732.84
26,6344.54,6642.66,6439.58,6845.73
27,6344.54,6583.4,6374.92,6791.89
28,6344.54,6912.95,6715.75,7110.16
29,6344.54,6677.04,6468.01,6886.07
30,6344.54,6578.45,6371.56,6785.35
31,6344.54,6473.78,6254.84,6692.72
32,6344.54,6850.8,6656.55,7045.06
33,6344.54,6632.64,6431.81,6833.47
34,6344.54,6576.87,6374.49,6779.25
35,6344.54,6908.69,6722.01,7095.37
36,6344.54,6592.4,6390.38,6794.43
37,6344.54,6633.95,6428.99,6838.91
38,6344.54,6696.53,6496.59,6896.46
39,6344.54,6676.06,6477.26,6874.85
40,6344.54,6752.41,6547.79,6957.02
41,6344.54,6730.7,6533.14,6928.26
42,6344.54,6743.83,6535.4,6952.25
43,6344.54,6773.83,6576,6971.66
44,6344.54,6694.29,6488.99,6899.59
45,6344.54,6595.87,6388.14,6803.6
46,6344.54,6527.17,6321.4,6732.94
47,6344.54,6689.37,6483.76,6894.98
48,6344.54,6737.7,6537.49,6937.91
49,6344.54,6721.89,6526.64,6917.14
50,6344.54,6755.81,6666.53,6845.09
test,,,,Benders cut: 0
Improved Benders cut: 1
Lagrangian cut: 0
Integer Optimality cut: 0
iteration,LB,UB,UBl,UBr
1,3774.86,6851.03,6362.03,7340.04
2,5211.78,7525.91,7132.53,7919.29
3,5538.81,7477.05,7093.5,7860.6
4,6502.14,7025.44,6551.21,7499.68
5,6604.75,7615.22,7233.97,7996.46
6,6661.38,6612.68,6157.47,7067.88
7,6661.42,6193.54,5656.51,6730.56
8,6661.42,6768.13,6230.65,7305.61
9,6661.42,6921,6441.38,7400.62
10,6663.32,6532.55,6039.26,7025.84
11,6667.27,5968.38,5425,6511.75
12,6667.27,7023.98,6576.11,7471.86
13,6667.27,6550.89,6055.32,7046.46
14,6667.27,7165.92,6730.35,7601.49
15,6667.27,7003.86,6572.36,7435.36
16,6667.27,6930.44,6465.73,7395.15
17,6667.27,6476.66,5966.9,6986.43
18,6667.27,6927.89,6452.44,7403.35
19,6667.27,6788.79,6296.12,7281.46
20,6667.27,6655.53,6452.55,6858.5
21,6667.27,6756.15,6555.43,6956.87
22,6667.27,6742.51,6548.86,6936.15
23,6667.27,6564.5,6353.72,6775.27
24,6667.27,6717.48,6516.17,6918.79
25,6667.27,6689.77,6492.46,6887.09
26,6667.27,6878.07,6680.81,7075.33
27,6667.27,6738.99,6541.03,6936.94
28,6667.27,6597.91,6394.88,6800.93
29,6667.27,6703.36,6501.99,6904.74
30,6667.27,6636.58,6435.74,6837.41
31,6667.27,6644.86,6436.21,6853.51
32,6667.27,6533.35,6323.71,6743
33,6667.27,6558.44,6351.56,6765.33
34,6667.27,6485.04,6274.7,6695.38
35,6667.27,6792.66,6589.34,6995.97
36,6667.27,6774.69,6572.55,6976.82
37,6667.27,6515.99,6306.05,6725.93
38,6667.27,6886.13,6692.14,7080.12
39,6667.27,6763.44,6561.99,6964.89
40,6667.27,6675.22,6462.45,6887.99
41,6667.27,6721.54,6518.36,6924.73
42,6667.27,6658.55,6457.39,6859.71
43,6667.27,6695.77,6488.68,6902.86
44,6667.27,6585.42,6378.73,6792.12
45,6667.27,6637.72,6435.31,6840.14
46,6667.27,6685.66,6477.88,6893.45
47,6667.27,6767.74,6562.33,6973.16
48,6667.27,6690.41,6487.22,6893.61
49,6667.27,6748.28,6549.07,6947.49
50,6667.27,6704.35,6614.29,6794.42
Benders cut: 0
Improved Benders cut: 1
Lagrangian cut: 1
Integer Optimality cut: 0
iteration,LB,UB,UBl,UBr
1,3890.83,6501.8,5970.89,7032.72
2,5235.64,7149.61,6739.49,7559.73
3,5736.62,7535.4,7128.15,7942.64
4,6559.72,7194.67,6731.43,7657.9
5,6628.35,7554.88,7197.67,7912.1
6,6680.8,6766.97,6293.67,7240.26
7,6687.15,6882.32,6474.34,7290.3
8,6695.06,5886,5429.71,6342.29
9,6699.17,6592.45,6071.97,7112.94
10,6700.58,6841.15,6357.44,7324.86
11,6701,6572.79,6083.74,7061.83
12,6701,6705.35,6206.49,7204.21
13,6701,6772.22,6270.04,7274.4
14,6701,6470.24,5986.44,6954.05
15,6701,6568.33,6061.41,7075.26
16,6701,6486.74,5952.4,7021.07
17,6701,7124.85,6744.17,7505.53
18,6701,6745.44,6260.78,7230.1
19,6701,6884.77,6387.98,7381.56
20,6701,6476.42,6266.62,6686.22
21,6701,6755.82,6553.63,6958.02
22,6701,6822.77,6621.29,7024.24
23,6701,6685.02,6477.95,6892.1
24,6701,6641.46,6441.25,6841.67
25,6701,6773.19,6571.36,6975.01
26,6701,6667.3,6461.06,6873.53
27,6701,6561.66,6359.29,6764.02
28,6701,6628.04,6428.65,6827.42
29,6701,6753.38,6556.66,6950.11
30,6701,6867.68,6669.01,7066.35
31,6701,6615.72,6407.14,6824.3
32,6701,6681.39,6474.24,6888.54
33,6701,6806.62,6608.74,7004.49
34,6701,6527.14,6321.28,6732.99
35,6701,6751.69,6556.41,6946.96
36,6701,6786.72,6592.95,6980.5
37,6701,6857.94,6665.09,7050.79
38,6701,6760.79,6569.61,6951.97
39,6701,6727.24,6526.93,6927.54
40,6701,6624.72,6416.21,6833.24
41,6701,6718.77,6514.87,6922.68
42,6701,6794.12,6593.16,6995.09
43,6701,6790.71,6599.58,6981.85
44,6701,6703.29,6499.75,6906.84
45,6701,6776.12,6576.21,6976.03
46,6701,6699.21,6500.96,6897.47
47,6701,6731.13,6523.27,6938.98
48,6701,6739.4,6533.64,6945.17
49,6701,6765.52,6562.32,6968.73
50,6701,6732.84,6643.73,6821.94
Benders cut: 0
Improved Benders cut: 1
Lagrangian cut: 0
Integer Optimality cut: 1
iteration,LB,UB,UBl,UBr
1,3675.66,6731.87,6234.28,7229.46
2,5183.67,7028.35,6572.53,7484.17
3,5471.91,7535.59,7129.89,7941.28
4,6390.43,7329.64,6925.64,7733.63
5,6634.3,7179.41,6723.51,7635.32
6,6682.27,7061.12,6584.11,7538.12
7,6688.05,6464.16,5966.32,6962
8,6695.39,6685.85,6180.57,7191.12
9,6698.78,6495.83,5974.34,7017.32
10,6700.72,6715.63,6233.02,7198.24
11,6701.12,6564.47,6047.63,7081.32
12,6701.12,6642.28,6225.77,7058.8
13,6701.12,6860.67,6405.62,7315.71
14,6701.12,7003.08,6596.87,7409.29
15,6701.12,6925,6442.66,7407.35
16,6701.12,6560.09,6050.37,7069.82
17,6701.12,6194.03,5605.36,6782.7
18,6701.12,6858.29,6423.11,7293.48
19,6701.12,6841.86,6312.11,7371.61
20,6701.12,6856.4,6663.83,7048.97
21,6701.12,6727.31,6522.06,6932.56
22,6701.12,6734.46,6534.14,6934.77
23,6701.12,6690.85,6485.09,6896.62
24,6701.12,6885.33,6699.25,7071.42
25,6701.12,6714.16,6508.16,6920.15
26,6701.12,6697.8,6497.92,6897.68
27,6701.12,6696.3,6493.84,6898.76
28,6701.12,6741.71,6536.33,6947.1
29,6701.12,6567.44,6360.65,6774.23
30,6701.12,6844.78,6644.47,7045.09
31,6701.12,7002.96,6806.81,7199.12
32,6701.12,6660.95,6446.61,6875.3
33,6701.12,6591.03,6391.32,6790.75
34,6701.12,6741.67,6541.92,6941.42
35,6701.12,6727.3,6527.59,6927
36,6701.12,6783.04,6581.27,6984.8
37,6701.12,6770.41,6577.87,6962.94
38,6701.12,6729.45,6533.12,6925.77
39,6701.12,6533.96,6324.1,6743.82
40,6701.12,6685.72,6480,6891.44
41,6701.12,6790.3,6593.7,6986.91
42,6701.12,6830.6,6633.82,7027.39
43,6701.12,6684.26,6482.54,6885.99
44,6701.12,6660.57,6448.4,6872.75
45,6701.12,6556.96,6349.86,6764.05
46,6701.12,6613.8,6416.08,6811.51
47,6701.12,6770.56,6571.41,6969.71
48,6701.12,6739.11,6542.64,6935.58
49,6701.12,6703.69,6504.15,6903.22
50,6701.12,6671.97,6580.81,6763.12
Benders cut: 0
Improved Benders cut: 1
Lagrangian cut: 1
Integer Optimality cut: 1
iteration,LB,UB,UBl,UBr
1,3656.99,6858.6,6366.91,7350.28
2,5206.11,7024.82,6545.62,7504.03
3,5471.52,7790.3,7439.69,8140.91
4,6394.46,6866.07,6424.78,7307.36
5,6558.14,7137.95,6707.5,7568.41
6,6652.83,7008.39,6570.91,7445.88
7,6672.87,6029.48,5530.15,6528.81
8,6691.83,6641.34,6128.99,7153.68
9,6696.99,6062,5551.14,6572.85
10,6698.16,6573.33,6042.06,7104.61
11,6699.32,6934.98,6425.89,7444.07
12,6701.15,6922.83,6451.98,7393.69
13,6701.2,6779.75,6298.29,7261.21
14,6701.2,7032.99,6555.91,7510.06
15,6701.2,6734.28,6269.42,7199.14
16,6701.2,6610.92,6120.97,7100.87
17,6701.2,6286.1,5765.91,6806.28
18,6701.2,6873.61,6419.22,7328
19,6701.2,6409.34,5907.07,6911.62
20,6701.2,6915.96,6403.43,7428.49
21,6701.2,6705.12,6498.87,6911.36
22,6701.2,6811.86,6607.34,7016.38
23,6701.2,6539.77,6338.84,6740.69
24,6701.2,6843.51,6642.91,7044.11
25,6701.2,6732.17,6541.01,6923.33
26,6701.2,6677.92,6478.04,6877.81
27,6701.2,6775.65,6583.21,6968.08
28,6701.2,6814.94,6619.33,7010.56
29,6701.2,6678.69,6478.1,6879.29
30,6701.2,6743.31,6541.7,6944.92
31,6701.2,6646.75,6436.54,6856.95
32,6701.2,6680.01,6479.82,6880.19
33,6701.2,6868.02,6667.89,7068.15
34,6701.2,6512.8,6309.16,6716.44
35,6701.2,6753.53,6550.75,6956.31
36,6701.2,6784.8,6584.01,6985.58
37,6701.2,6477.46,6264.19,6690.72
38,6701.2,6668.43,6461.74,6875.12
39,6701.2,6681.11,6476.08,6886.15
40,6701.2,6788.83,6593.7,6983.96
41,6701.2,6618.14,6410.8,6825.47
42,6701.2,6739.78,6536.55,6943.01
43,6701.2,6682.09,6472.92,6891.27
44,6701.2,6934.86,6735.48,7134.24
45,6701.2,6671.64,6478.6,6864.69
46,6701.2,6648.08,6443.46,6852.7
47,6701.2,6808.85,6609.38,7008.31
48,6701.2,6658.41,6457.3,6859.51
49,6701.2,6759.85,6558.98,6960.72
50,6701.2,6702.54,6612.88,6792.19
Benders cut: 0
Improved Benders cut: 0
Lagrangian cut: 1
Integer Optimality cut: 1
iteration,LB,UB,UBl,UBr
1,3113.15,6681.82,6233.57,7130.08
2,4118.5,7025.19,6496.47,7553.91
3,5496.39,7037.21,6592.61,7481.81
4,6244.16,7511.29,7096.61,7925.96
5,6348.24,7012.4,6552.31,7472.49
6,6505.86,7691.63,7266.92,8116.34
7,6542.13,6952.66,6431.49,7473.83
8,6583.68,7288.73,6807.61,7769.85
9,6623.53,7209.22,6725.91,7692.53
10,6633.46,7062.45,6604.1,7520.8
11,6654.64,7195.55,6798.96,7592.14
12,6660.67,7294.98,6861.68,7728.28
13,6666.91,7079.53,6610.62,7548.44
14,6671.16,6734.94,6251.89,7217.99
15,6676.36,6858.75,6367.44,7350.06
16,6691.17,7350.83,6917.32,7784.34
17,6698.54,7105.65,6673.07,7538.23
18,6699.65,6786,6344.73,7227.28
19,6699.86,6467.23,5950.36,6984.11
20,6701.15,6432.71,5945.88,6919.53
21,6701.17,6899.76,6393.9,7405.61
22,6701.17,6947.15,6481.1,7413.2
23,6701.17,6581.26,6040.69,7121.83
24,6701.17,6768.6,6285.81,7251.39
25,6701.17,6731.74,6236.55,7226.93
26,6701.17,7106.31,6683.73,7528.9
27,6701.17,7266.72,6816.35,7717.09
28,6701.19,6864.3,6388.08,7340.53
29,6701.2,6512.92,6304.74,6721.09
30,6701.2,6632.38,6428.23,6836.52
31,6701.2,6824.26,6631.81,7016.7
32,6701.2,6620.44,6415.64,6825.25
33,6701.2,6675.03,6465.44,6884.62
34,6701.2,6798.65,6604.19,6993.1
35,6701.2,6731.69,6536.94,6926.44
36,6701.2,6768.73,6573.94,6963.52
37,6701.2,6556.12,6350.81,6761.43
38,6701.2,6556.11,6346.3,6765.93
39,6701.2,6749.37,6553.38,6945.37
40,6701.2,6699.15,6493.91,6904.4
41,6701.2,6652.64,6442.53,6862.75
42,6701.2,6842.39,6647.69,7037.09
43,6701.2,6944.42,6748.43,7140.4
44,6701.2,6812.99,6616.54,7009.44
45,6701.2,6872.39,6676.11,7068.68
46,6701.2,6604.78,6402.14,6807.42
47,6701.2,6925.07,6731.76,7118.38
48,6701.2,6699.52,6502.12,6896.92
49,6701.2,6686.5,6483.11,6889.89
50,6701.2,6762.19,6672.73,6851.66
